,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,1.4665462970733643,0.07053529418444164,0.005385589599609375,0.0004888505476047678,0.001,{'C': 0.001},0.885,0.875,0.879,0.876,0.882,0.8794000000000001,0.0037202150475476583,1
3,4.641107988357544,0.08854949715778111,0.008776617050170899,0.007605888277679354,0.01,{'C': 0.01},0.89,0.88,0.869,0.876,0.873,0.8775999999999999,0.00717216843081645,2
4,18.437629556655885,0.5948851268956502,0.0055882930755615234,0.0004916680632600665,0.1,{'C': 0.1},0.863,0.848,0.845,0.857,0.837,0.85,0.009121403400793112,3
5,30.367894220352174,2.2891573121350106,0.00478668212890625,0.0014661678213547759,1,{'C': 1},0.846,0.833,0.827,0.843,0.825,0.8347999999999999,0.008400000000000008,4
6,22.931120729446413,4.500497634069615,0.004588127136230469,0.0011968216186582594,10,{'C': 10},0.835,0.826,0.83,0.838,0.823,0.8304,0.005535341001239224,5
7,19.44868931770325,3.7620622156044483,0.0033907413482666014,0.0007977724983788951,100,{'C': 100},0.828,0.837,0.824,0.819,0.826,0.8267999999999999,0.0059126981996377986,6
1,0.7466301918029785,0.06266397887704478,0.005585289001464844,0.0007971406673778557,0.0001,{'C': 0.0001},0.821,0.798,0.811,0.817,0.807,0.8108000000000001,0.008009993757800276,7
0,0.5423522472381592,0.0592037995926555,0.00658259391784668,0.003710370774510917,1e-05,{'C': 1e-05},0.552,0.544,0.573,0.595,0.573,0.5674,0.017939899665271233,8
